Name,Image Url,Description,Cuisine,Course,Diet,Prep Time,Ingredients,Instructions
Kathiyawadi Stuffed Onion Recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/dec/Kathiyawadi_Stuffed_Onion_Recipe-1_1600.jpg,Kathiyawadi Stuffed Onion Recipe is a simple to make but at the same time pretty spicy and delicious. Kathiyawad is a region in Gujarat and its cuisine is pretty hot and spicy as compared to the Gujarati cuisine.,Gujarati Recipes﻿,Side Dish,Vegetarian,Total in 30 M,"300 grams Pearl onions (Sambar Onions) 

							 		3/4 cup Roasted Peanuts (Moongphali) 

							 		10 cloves Garlic 

							 		2 tablespoons Coriander Powder (Dhania) 

							 		2 tablespoons Red Chilli powder 

							 		1 teaspoon Cumin powder (Jeera) 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		4 tablespoons Coriander (Dhania) Leaves							 		, finely chopped							 	

							 		2 teaspoons Oil							 		, for the stuffing, and more to slow cook							 	

Salt							 		, to taste","To begin making Kathiyawadi Stuffed Onion Recipe, peel the baby onions, keeping the base intact make 4 slits in the shape of a cross to help us fill the stuffing. Keep aside.For the stuffing, make a coarse dry mix of the roasted peanuts, garlic cloves, coriander powder, red chilli powder, cumin, turmeric and salt using a mixer grinder and transfer into a bowl.Now add the chopped coriander, about 2 teaspoons oil to the filling mixture and mix well till the mixture turns crumbly.Take the baby onions and carefully fill in the ground mixture into the slits of each one of them.Heat oil in a non stick pan on medium flame, place the stuffed onions on the surface of the pan and let it cook on low heat for 5 minutes.Add about 1/4 cup of water, add the remaining stuffing mix, close it with a lid and let the onions cook in the steam. This will take about 10 minutes.Saute sparingly if required in between. Make sure the onions are cooked well while still retaining its shape.Once the onions are cooked, switch off the heat and garnish Kathiyawadi Stuffed Onion with coriander leaves.Serve the Kathiyawadi Stuffed Onion Recipe along with Methi Jowar Roti Recipe and Gujarati Dal Recipe for a delightful weeknight dinner."
Authentic Punjabi Mango Pickle (With Mustard Oil) - No Sun Required Aam Ka Achar,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2022/Authentic_Punjabi_Mango_Picke_In_Mustard_Oil_No_Sun_Method_7_1600.jpg,"Here is an authentic Punjabi Mango Pickle recipe also known as Aam Ka Achaar is simple recipe of a spicy raw mango pickle made from homemade pickle masala. Pickle-making process can be a very easy task, if you have the right guidance and the perfect recipe.",Indian,Side Dish,Vegetarian,Total in 30 M,"2 kg Mango (Raw)							 		, approx 7 cups							 	

							 		1/2 cup Salt							 		, approx 130 grams							 	

							 		3 tablespoons Turmeric powder (Haldi)							 		, 30 grams approx							 	

							 		1/2 cup Kashmiri Red Chilli Powder							 		, 40 grams approx							 	

							 		1/4 cup Methi Seeds (Fenugreek Seeds)							 		, 40 grams approx							 	

							 		1/4 cup Mustard seeds (Rai/ Kadugu)							 		, 40 grams approx							 	

							 		3 tablespoons Red Chilli powder							 		, (adjust)							 	

							 		1/4 cup Kalonji (Onion Nigella Seeds)							 		, 35 grams approx							 	

							 		1/4 cup Fennel seeds (Saunf)							 		, 35 grams approx							 	

							 		1/4 cup Coriander (Dhania) Seeds							 		, 25 grams approx							 	

							 		3 cups Mustard oil","To begin making the  Punjabi Mango Pickle recipe (Aam Ka Achaar Recipe), wash the mangoes and dry them completely making sure there is no moisture or dust.Make sure your knife and the platform you use for cutting the mangoes is clean and moisture free. Cut the mangoes in half, deseed and further cut them into one inch cubes. You can leave the skin on provided they are tender and smooth. In a large steel bowl, combine the salt, turmeric powder and cut mangoes. Cover, the bowl and allow it to marinate for 1 hour.Heat a small pan on medium heat, and roast the coriander seeds until you start smelling the aroma. Turn off heat and allow it to cool. Once cooled, using a pestle and mortar to coarsely crush the coriander seeds to half.Blend the mustard seeds and fenugreek seeds into a coarse powder. There is no need to roast the seeds.To the marinated mangoes, add the powdered mustard and fenugreek seeds, red chilli powder, fennel seeds, kalonji seeds, and coriander seeds. Stir well to combine.Add 1 cup of mustard oil and stir well again. You don't need to heat the mustard oil. Check the salt at this stage. It should feel extra salt. If it is not extra salty, add a few tablespoon of salt until you get that extra salty taste. Salt and oil are the two most important preservatives in pickling. Cover the steel bowl with a muslin cloth and tie it tightly around the rim. This will absorb any residual moisture. Place a steel lid over the covered bowl and set aside.After 24 hours, open and give it a stir. Cover again with cloth wrapped tightly and a lid and set it to rest for another day. The third day you will notice the mangoes have softened. At this stage add the remaining 2 cups of mustard oil. Give it a stir. Once again cover tightly with muslin cloth and a steel lid. Keep it aside for 2 more days. Give it a stir.By the end of 5th day the pickle will be ready to eat. The mangoes would have softened but might still have a firm texture. The mangoes will keep marinating and softening when it is stored in bottles and will age with time. Moisture is the biggest killer for pickles. Clean and sterilize the bottles and the lids that you will be using for storage. I typically like to store them in multiple small 500 gram glass bottles, so I only open the bottle when i am ready to use it.Transfer the Punjabi Mango Pickle into the clean and dry bottles. Add a tablespoon of mustard oil on the top once filled and seal the bottle tight and enjoy.Use a clean dry spoon so that there is no moisture when you take the pickle out of the bottle.Serve Punjabi Mango Pickle  with Pyaz Ka Paratha Recipe or Aloo Methi Paratha Recipe for a  complete breakfast. "
Mooli Ka Saag & Moong Dal Ki Sabzi (Dry) - Radish Leaves & Lentil Stir fry,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Babitha_Costa/Radish_Leaves_Stir_fry__Radish_leavesmoongdal_stir_fry.jpg,The Mooli Ka Saag & Moong Dal Ki Sabzi is a nutritious and healthy stir fry vegetable that is made with the greens of radish together with moong dal. The dish is cooked with less oil and has a perfect blend of spices and can be served as side dish along with hot steamed rice or even roti.,North Indian Recipes,Side Dish,Diabetic Friendly,Total in 70 M,"150 grams Mooli Ke Patte (Radish Greens)							 		, finely chopped							 	

							 		1/4 cup Yellow Moong Dal (Split) 

							 		1 teaspoon Oil 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1/2 teaspoon Cumin seeds (Jeera) 

							 		3 cloves Garlic							 		, finely chopped							 	

							 		1 Green Chilli							 		, finely chopped							 	

							 		1/2 teaspoon Turmeric powder (Haldi) 

Salt							 		, to taste							 	

							 		2 tablespoons Fresh coconut							 		, grated							 	

							 		1/2 teaspoon Sugar","To begin making the Mooli Ka Saag & Moong Dal Ki Sabzi, first prep the ingredients according to the instructions and keep aside.Soak the moong dal for about half an hour in warm water. Once soaked, drain the water and keep aside.Heat oil in a heavy bottomed pan or a kadai on medium heat. Add the mustard and cumin and allow it to crackle,Once they crackle, add the chopped garlic and green chilies. Stir fry for a few seconds until you smell the aromas coming through. After a few seconds, add the chopped mooli ka saag (radish leaves), soaked dal, salt, sugar and turmeric powder. Stir all the ingredients well. Sprinkle just a little water, cover the pan and cook the radish leaves and the dal until well done. Keep stirring in between to make sure they get cooked evenly. Once done, turn off the heat, check the salt and spice levels and adjust to suit your taste. Finally stir in the the grated coconut and serve.Serve the Mooli Ka Saag & Moong Dal Ki Sabzi along with Phulka, Aloo Tuk and Carrot Tomato Salad for a wholesome weeknight dinner."
Karnataka Style Orange Peels Curry Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha-Kalluraya/Karnataka_style_Orange_Peels_Curry_.jpg,"Did you know that we can make a yummy curry out of Orange Peels? It is tangy, sweetish, spicy, slightly bitter and bursting with flavors. It is an unique recipe. So next time you have some guests at home, make this recipe and impress your friends and family. It is filled with flavours and tastes delicious with almost everything. Next time you eat an orange, don't throw the peels, make a curry out of it.",Karnataka,Lunch,Vegetarian,Total in 30 M,"2 Orange 

Tamarind							 		, big lemon size							 	

							 		3 tablespoon Jaggery							 		, adjustable							 	

							 		1 teaspoon Rasam Powder 

							 		1 teaspoon Red Chilli powder 

							 		1 tablespoon Rice flour 

Salt							 		, to taste							 	
For tempering

							 		1 tablespoon Oil 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1/2 teaspoon Cumin seeds (Jeera) 

							 		1/4 teaspoon Methi Seeds (Fenugreek Seeds) 

							 		1 teaspoon White Urad Dal (Split) 

							 		1 Dry Red Chilli							 		, broken							 	

							 		1 Green Chilli							 		, slit							 	

Asafoetida (hing)							 		, a pinch							 	

							 		1/4 teaspoon Turmeric powder (Haldi)","To begin making the Karnataka Style Orange Peels Curry recipe, Peel out 2 oranges. Gently scrape the white region from the orange peel using a spoon. Remove as much as possible as this will reduce the bitterness .Chop the orange peels finely.Soak tamarind in water. After it's soaked well, squeeze out tamarind water and keep aside.Heat oil in a heavy bottomed pan and temper with mustard seeds, urad dal, cumin seeds & fenugreek seeds. When it splutters add curry leaves, red chilli powder, green chilli, hing and turmeric powder. Mix and add chopped orange peel. Fry for 4-5 minutes.Later add tamarind water, salt, jaggery, red chilli powder and rasam powder. Add some water and close the lid. Keep the flame on low medium and allow the peel to cook well. Mix in between.Meanwhile  in a mixing bowl, mix rice flour in water such that no lumps are formed.When orange peels are cooked well, add the rice flour mix to the curry and allow it to boil for 1-2 minutes. Adding rice flour gives nice thickness to the gravy. If the desired consistency is attained, switch off.Serve Karnataka Style Orange Peels Curry along with Cabbage Thoran and Whole Wheat Lachha Paratha for your weekday meal. It even tastes great with Steamed Rice."
Ayala Fish Fry Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/jyothir/Ayala_Fish_Fry.jpg,"Ayala also called as bangada is one of the tastiest fish of the whole lot. The buttery flesh makes it a great fish to fry it. Not that the curry made of this fish is less delicious, no matter how you cook this fish, it’s super delicious.",South Indian Recipes,Side Dish,High Protein Non Vegetarian,Total in 35 M,"4 Fish							 		, ayala (bangada fish)							 	

							 		1-1/2 tablespoon Red Chilli powder 

							 		1/4 teaspoon Turmeric powder (Haldi) 

							 		1/2 teaspoon Fennel Powder 

							 		1 teaspoon Black pepper powder 

							 		1 teaspoon Ginger Garlic Paste 

							 		1 teaspoon Lemon juice 

Salt							 		, to taste							 	

Oil							 		, for shallow fry","To begin making the Ayala Fish Fry Recipe, wash and clean fish well. Leave it whole. Score the fish on it’s skin on both sides.In a bowl squeeze lime juice. Add red chilli powder, turmeric powder, fennel powder, black pepper powder, ginger-garlic paste, salt and mix well. Make a thick paste.Rub the spice paste all over the fish including the slit areas on both the sides.Cover and let the fish marinate in the fridge for 15 minutes.Heat few tablespoons oil in a pan. Shallow fry the whole fish on medium flame until golden brown on both sides.Serve hot with lime wedges and onion carrot slices if preferred.Serve Ayala Fish Fry with Mixed Vegetable Sambar, Steamed Rice and Elai Vadam for a weekday lunch or dinner."
Kongunadu Style Senai Kilangu Masala Recipe - Yam in Spicy Gravy,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Kongunadu_Style_Senai_Kilangu_Masala_Recipe_Yam_in_Spicy_Gravy.jpg,Kongunadu Style Senai Kilangu Masala Recipe (Yam in Spicy Gravy) is a recipe that is from Tamil Nadu. Kongunadu is a part of Tamil Nadu cuisine which is famous for its spicy flavor. In this recipe we have used different spice mixtures that are roasted well and ground into a spicy paste and cooked along with yam.,Tamil Nadu,Side Dish,Vegetarian,Total in 40 M,"300 grams Elephant yam (Suran/Senai/Ratalu)							 		, sking peeled and sliced thin							 	

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 sprig Curry leaves 

Salt							 		, to taste							 	

Oil							 		, for cooking							 	
For the Spice Mixture

							 		1 inch Cinnamon Stick (Dalchini) 

							 		4 cloves Garlic 

							 		1 inch Ginger							 		, chopped							 	

							 		2 tablespoon Poppy seeds 

							 		2 tablespoon Coconut Oil 

							 		2 Dry Red Chillies 

							 		1 sprig Curry leaves","To begin making the Kongunadu Style Senai Kilangu Masala Recipe, we will first pressure cook the yam with water, turmeric powder, salt for about 2 whistle.Release the pressure naturally, and drain the excess water and keep the cooked yam aside.Heat a flat skillet with oil, add curry leaves and allow it splutter for few seconds, add cinnamon stick, cloves and let it saute for few seconds.Add dry red chillies, garlic, and ginger and saute until it softens. Later add poppy seeds and grated coconut and saute until they turn light brown.Switch off the heat and allow it to cool down. Transfer it to a mixing jar and add little water and grind it into a smooth paste.Heat the same pan again with oil, add mustard seeds and curry leaves and allow it splutter and crackle for few seconds.Add your ground paste and give it a stir. Finally add cooked yam and mix the masalas well. Cook until the masala has reduced and you get a dry mixture.Check for salt and adjust the seasoning according to your palate and serve hot.Serve the Kongunadu Style Senai Kilangu Masala Recipe along with Tawa Paratha, Palak Dal and Steamed rice to enjoy your everyday lunch."
Shahi Egg Curry Recipe In Tomato & Cashew Gravy ,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/0-Archana/3-Egg_Curry_Recipe_Figaro_Pure_Olive_Oil-3.jpg,"The taste of Dhaba food is phenomenal and we usually find these dhabas on highways. They cook some amazing dishes in traditional style which enhances the flavour of the dish. Dhaba Style Egg Curry is one such recipes which is spicy, tasty and full of flavours.",North Indian Recipes,Dinner,Eggetarian,Total in 90 M,"4 Whole Eggs 

							 		1-1/2 cups Homemade tomato puree 

							 		2 Onions							 		, finely chopped							 	

							 		6 cloves Garlic 

							 		1 inch Ginger 

							 		1 Bay leaf (tej patta) 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Red Chilli powder 

							 		1 teaspoon Garam masala powder 

							 		1 teaspoon Kasuri Methi (Dried Fenugreek Leaves) 

							 		1/4 cup Cashew nuts							 		, ground into paste							 	

Extra Virgin Olive Oil							 		, for cooking							 	

							 		2 Salt							 		, to taste","To begin making the Shahi Egg Curry Recipe, prep all the ingredients and keep them ready, hard boil the eggs, prepare the make the tomato puree. Follow - How To Make Tomato PureeInto a pestle and mortar, add the ginger and garlic and pound to make a coarse mixture.Into a pan, add in the olive oil, add the onions, pounded ginger and garlic and saute for a few seconds until the onions have softened. Take care not to caramelize the onions. Once the onions have softened, add in the tomato puree, bay leaf, turmeric powder, red chili powder and garam masala powder.Stir in the cashew nut paste and the boiled eggs. Cover the pan and simmer for about 5 to 10 minutes until the masalas come together to make a delicious egg curry.Once done, stir in the kasuri methi into the Shahi Egg Curry and serve.Serve this Shahi Egg Curry Recipe along with Hyderabadi Vegetable Biryani or Pudina Lahsun Laccha Paratha and Burani Raita for your weekend meal."
Kaju Butter Masala Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Kaju_Butter_Masala.jpg,"Paneer Butter Masala or Chicken Butter Masala are the dishes we usually prepare for any special occasions. Kaju Butter Masala is an amazing twist to the Butter Masala recipe, where the roasted whole cashews are added.",North Indian Recipes,Lunch,Vegetarian,Total in 30 M,"1 cup Cashew nuts 

							 		4 Tomatoes 

							 		1 tablespoon Ginger Garlic Paste 

							 		1 Green Chilli							 		, slit							 	

							 		1 teaspoon Kashmiri Red Chilli Powder 

							 		1 teaspoon Garam masala powder 

							 		1 Bay leaf (tej patta) 

							 		1 teaspoon Kasuri Methi (Dried Fenugreek Leaves)							 		, crushed for garnish							 	

							 		3 tablespoons Fresh cream 

							 		1 tablespoon Butter (Salted) 

Salt							 		, to taste","To begin making Kaju Butter Masala Recipe, wash and blanch the tomatoes in enough water, once cool, remove the skin and make a smooth paste along with 8 cashews using a mixer grinder. Keep aside.Heat butter in a heavy bottomed pan, add the whole cashews and fry until they turn golden and remove them into a plate. Keep aside until further use.To the same pan add the bay leaf, ginger garlic paste and saute for a minute. Add the tomato cashew puree, green chilli and cook for 2 minutes.Add the red chilli powder, 2 cups water, season with salt and let it simmer for 5 minutes until the gravy becomes thick and comes together.Add the fried cashews, garam masala powder and simmer for 5 minutes so that the cashews become a little soft.Add the cream and mix well. Simmer for another 2 minutes and switch off the heat.Slightly crush the kasuri methi between your palms and add it as a garnish over the prepared Kaju Butter Masala.Serve the Kaju Butter Masala Recipe, along with Butter Naan, Tandoori Aloo, Salad for a delicious Weekend Lunch."
Chenakayi Erissery Recipe - Yam Erissery,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha_Kalluraya/Chenakayi_Erissery_Yam_Erissery.jpg,"Erissery is one of the famous dish from Kerala cuisine and an integral part of any Onam Sadya. The base of the erissery is a blend with fresh coconut, cumin, pepper, and chillies.",Kerala Recipes,Side Dish,Vegetarian,Total in 30 M,"2 cups Elephant yam (Suran/Senai/Ratalu)							 		, scraped well and cubed to bite size							 	

							 		1/4 teaspoon Turmeric powder (Haldi) 

Salt							 		, to taste							 	
For Grinding

							 		1 cup Fresh coconut							 		, grated							 	

							 		3 Green Chillies							 		, (adjust)							 	

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1/2 teaspoon Whole Black Peppercorns 
For Tempering

							 		1 teaspoons Coconut Oil 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 sprig Curry leaves","To begin making the Chenakayi Erissery Recipe, prepare all the ingredients required to make this dish.Take a heavy bottomed pan, add yam along with little water, turmeric and salt. Cover the pan and cook till it becomes soft.Meanwhile, prepare the masala. Take half of the coconut mentioned along with cumin, pepper, green chilli and grind to a coarse paste adding 2-3 tablespoon of water. Keep it aside.When the yam pieces are cooked well, mash them lightly using the back of the ladle.To the semi-mashed yam pieces, add the ground masala, salt and sprinkle a little water (if the water added initially has dried out). Mix everything well. Keep the flame on low and cover and cook for 4-5 minutes so that all the flavors are infused. Meanwhile, heat another pan and toast the coconut on low flame until golden brown. Keep aside. Next, Prepare the tempering. Add coconut oil. When it is hot, add mustard seeds. Once they splutter, add curry leaves and switch off. Finally, mix both the roasted coconut and tempering to the Yam erissery and gently give a stir. Reserve a little amount of roasted coconut for garnish.Garnish with roasted coconut and serve Chenakayi Erissery Recipe along with Steamed Rice, Malabari Parotta and Kerala Kadala Curry Recipe."
Lauki Wadi Tarkari Recipe - Bengali Style Moong Dal Dumplings & Bottle Gourd Sabzi,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sapanabehl/Bari_Lau_Tarkari.jpg,"Lauki Wadi Tarkari Recipe is the Bengali Style Moong Dal Dumplings & Bottle Gourd Sabzi that is cooked as a side dish to pair with rice or Indian flat breads. I have used the homemade sun dried badi made with moong dal to prepare this sabzi, and then deep fried them before making the tarkari.",Bengali Recipes,Side Dish,High Protein Vegetarian,Total in 35 M,"For Wadi

							 		1 cup Yellow Moong Dal (Split)							 		, soaked for at least 4 hours or overnight							 	

							 		1 teaspoon Ginger							 		, grated							 	

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1 teaspoon Red Chilli powder 

							 		1 pinch Asafoetida (hing) 

Salt							 		, to taste							 	
Other Ingredients

							 		1 Bottle gourd (lauki)							 		, cut in cubes							 	

							 		1 Tomato							 		, chopped							 	

							 		1 Onion							 		, chopped							 	

							 		2 Green Chillies							 		, chopped							 	

							 		1 teaspoon Ginger							 		, grated							 	

							 		1 teaspoon Panch Phoran Masala 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Coriander Powder (Dhania) 

Salt							 		, to taste							 	

							 		1 teaspoon Sugar 

							 		1 tablespoon Mustard oil 

							 		2 tablespoons Oil							 		, to fry wadis							 	

Coriander (Dhania) Leaves							 		, chopped","To begin making Lauki Wadi Tarkari Recipe , prepare wadis first. Wash and soak moong dal in enough water for about 3-4 hours or overnight.Drain excess water and pulse it a couple of times to make a fine paste in a food processor.Add the remaining ingredients listed under wadi like the ginger, cumin seeds, dry red chillies, hing, salt to taste and whisk to combine. Arrange a baking tray with aluminium foil or lined with a parchment paper.Using a piping bag or zip lock bag, drop out small roundels.Dry them under the sunlight for 3-4 days or until they are completely dried. Store in an airtight container and use them when needed. This can be stored up to 6 months.*For Lauki Wadi/Badi TarkariOnce you have the homemade or store bought wadis, heat oil for frying in a pan and saute the wadis. Drain on a kitchen towel to absorb excess oil. Keep them aside.Heat oil in a pan and add panch phoran masala on a low heat. Saute for few seconds and then add ginger and onions. Stir until the onions are light brown.Now add green chillies and tomatoes, stir and add turmeric powder, salt and sugar. Stir well on a medium heat to cook tomatoes.Once the tomatoes are soft and mushy, add in lauki and cook covered until lauki is soft. Mine took about 10 minutes.Add crushed or whole wadis,stir to combine and cook for few minutes more.Remove Lauki Wadi Tarkari from heat and put it into a serving bowl, garnish with chopped coriander leaves. Serve hot.Serve Lauki Wadi Tarkari Recipe along with Pudina Lahsun Laccha Paratha and Mooli Raita Recipe for your everyday meals."
Karnataka Style Sandige Huli Recipe (Toor dal dumplings in Gravy Recipe) ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Karnataka_Style_Sandige_Huli_Recipe_Toor_dal_dumplings_in_Gravy_Recipe_.jpg,"Karnataka Style Sandige Huli Recipe (Toor dal dumplings in Gravy Recipe) is a high rich protein dish. It is a dal curry made with toor dal without any vegetables. The toor dal is ground and mixed with fresh coconut and coriander leaves, which is shaped into balls and simmered with the same toor dal curry. This dish is famous among the “Madhwa Brahmin” community and is prepared traditionally on “Devara samaradhane” gathering.",Karnataka,Lunch,Vegetarian,Total in 230 M,"1 cup Arhar dal (Split Toor Dal) 

							 		2 Green Chilli							 		, chopped							 	

							 		2 tablespoon Fresh coconut							 		, grated							 	

							 		1 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Jaggery 

							 		1/2 cup Tamarind Water 

							 		1 teaspoon Asafoetida (hing) 

Salt							 		, to taste							 	
To temper

							 		1 teaspoon White Urad Dal (Split) 

							 		2 cloves Garlic							 		, chopped							 	

							 		1 sprig Curry leaves 

							 		1 tablespoon Ghee","To begin preparing Karnataka Style Sandige Huli Recipe, soak the dal in water for at least 3 hours and keep it. In a grinder add the dal without water and green chili to a coarse paste. Take more than half of the mixture and keep it aside in a bowl.Add some more water into the mixer and grind the mixture to a smooth paste and reserve for later use.To the coarsely ground dal mixture, add coconut grated, chopped coriander leaves hing, turmeric and mix well.Heat a kadai with oil, add mustard seeds allow it splutter for 10 seconds. Add the mixed toor dal mixture and keep sautéing for 2 minutes. Switch off the heat, allow it to rest for some time and start shaping them into balls.Heat a sauce pan with ghee, add mustard seeds and allow it to splutter for 10 seconds.Add the smoothly ground dal mixture, with chopped coriander, jaggery, tamarind water, salt and turmeric powder.You can add some more water to make the consistency thin. Check for salt and add the dumplings into the dal mixture. Allow it to boil for 10 minutes and switch off the heat.To temper, heat a small tempering kadai with oil and add the urad dal, garlic and saute until they become light brown. Add curry leaves and let it splutter and immediately pour it over the dal and serve. Serve the Sandige Huli Recipe along with hot steamed rice, palya and Crispy Palak Pakora Recipe to complete your rich meal."
Karnataka Style Avarekalu Pulao Recipe - Avarekalu Pulao,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Avarekalu_Pulao_Recipe_Karnataka_Style_Hyacinth_Beans_Pulao.jpg,"Avarekalu Pulao Recipe is a spicy Karnataka Style Pulao made using the fresh avarekalu or hyacinth beans. Hyacinth Beans are called the Avarekalu in Kannada. Avarekalu are seasonal beans, available in the winter months and many dishes are made using it. ",Karnataka,Dinner,Vegetarian,Total in 30 M,"1-1/2 cups Basmati rice							 		, soaked for 10 minutes							 	

							 		3/4 cup Avarekalu / Lilva Beans 

							 		1 Onion							 		, thinly sliced							 	

							 		1 Tomato							 		, finely chopped							 	

							 		2 teaspoons Coriander Powder (Dhania) 

							 		1 teaspoon Red Chilli powder 

							 		1 teaspoon Garam masala powder 

							 		1 Bay leaf (tej patta) 

							 		1 Cinnamon Stick (Dalchini) 

							 		2 Green Chillies							 		, slit							 	

							 		1 tablespoon Ghee 

Salt							 		, to taste							 	

							 		2 sprig Mint Leaves (Pudina)							 		, for garnish							 	
Ingredients for the masala paste

							 		1 Cinnamon Stick (Dalchini) 

							 		2 Cloves (Laung) 

							 		1 Cardamom (Elaichi) Pods/Seeds 

							 		8 cloves Garlic 

							 		2 inch Ginger 

							 		1 Green Chilli 

							 		1/2 cup Mint Leaves (Pudina) 

							 		1/4 cup Coriander (Dhania) Leaves","To begin making Avarekalu Pulao Recipe-Hyacinth Beans Pulao, wash and soak the basmati rice in enough water for 10 minutes.Now, add all the ingredients mentioned for making the masala paste including cinnamon stick, clove, cardamom, garlic, ginger, green chilli, mint leaves, coriander leaves, and grind it into a smooth paste adding little water using a mixer grinder. Keep it aside.Heat ghee in a pressure pan, add the bay leaf, cinnamon stick and let the ghee become aromatic.Add the sliced onion and saute until it turns slightly brown.Add the slit green chillies, tomatoes and saute until the tomatoes turn a little soft.Add the ground masala paste, saute until the raw smell goes away. This will take about 3 to 4 minutes.After 3 to 4 minutes, add the coriander powder, red chilli powder, garam masala powder and saute until the ghee separates out. This will again take some 3 to 4 minutes.Now, add the fresh avarekalu or hyacinth beans, saute for 2 minutes. Drain the water from the rice, add it to the pan and mix well.Add 3 cups of water, season with salt and bring the Avarekalu Pulao to a rolling boil.Now, close the Avarekalu Pulao with the lid, and pressure cook for one whistle on medium heat, switch off the heat and let the pressure release on its own.Once the pressure is fully released, open the lid, add the chopped mint leaves, fluff up the Avarekalu Pulao gently using a fork and it is ready to be served.Serve Avarekalu Pulao Recipe along with Tomato Onion Cucumber Raita, Satvik Carrot Sprout Salad and a roasted Papad for a weekday dinner. You can also pack this easy Pulao Recipe in your Lunch Box."
Tofu Green Pulao Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jamuna_Devi/Tofu_Green_Pulao_One_Dish_Recipe.jpg,Tofu Green Pulao Recipe is a nutritious dish with green leafy vegetables and goodness of tofu. The pulao gets a new flavor with the richness of tofu and makes it even more tastier with spinach in it.,Indian,Lunch,Vegetarian,Total in 60 M,"1 cup Spinach Leaves (Palak)							 		, finely chopped							 	

							 		1 cup Methi Leaves (Fenugreek Leaves)							 		, finely chopped							 	

							 		1/2 cup Coriander (Dhania) Leaves							 		, finely chopped							 	

							 		1/2 cup Mint Leaves (Pudina)							 		, finely chopped							 	

							 		1/2 cup Spring Onion Greens							 		, finely chopped							 	

							 		1/2 cup Green peas (Matar) 

							 		12 Green Bell Pepper (Capsicum)							 		, finely chopped							 	

							 		1/2 cup Green beans (French Beans)							 		, finely chopped							 	

							 		1/2 cup Tofu							 		, cut into cubes							 	

							 		4 Green Chillies							 		, finely chopped							 	

							 		1/4 teaspoon Cumin seeds (Jeera) 

							 		1 tablespoon Ghee 

Oil							 		, as required							 	

							 		2 inch Cinnamon Stick (Dalchini) 

							 		2 Black cardamom (Badi Elaichi) 

							 		4 Cardamom (Elaichi) Pods/Seeds 

							 		6 Cloves (Laung) 

							 		2 Bay leaves (tej patta) 

							 		1 tablespoon Cashew nuts							 		, halved							 	

							 		1 cup Basmati rice 

Salt							 		, to taste","To begin with the Tofu Green Pulao Recipe, first wash and soak basmati rice for 30 minutes and then strain the water using muslin cloth and keep it aside.Meanwhile in a blender combine spinach leaves, methi leaves, coriander leaves, green chillies and blend till it forms a smooth puree.Add oil and ghee in a pressure cooker, once hot; add cumin seeds, bay leaves, black cardamom, cloves, green cardamom, cinnamon stick.After they begin to roast, add tofu cubes, cashew and fry for about 20 seconds.Now add capsicum, green peas, french beans, finely chopped spring onions and soaked double beans. After a while add in the basmati rice and stir fry for a minute.Add the prepared green puree and let it cook for a minute. Add 2 to 3 cups of water and mix everything well.Close the cooker with a lid and let it cook till the cooker release 2 to 3 whistles. Once done, let the pressure release normally.Open the lid, servie it in a bowl and garnish it with chopped coriander leaves.This Tofu Green Pulao can be served with Burani Raita or any other raita of your choice for your weekday lunch or dinner."
